code,name,city,country,latitude,longitude
FRL,Bologna Forli,Bologna,Italy,44.1948,12.0701
FSC,Figari-Corsica,Figari,France,41.5006,9.09778
FUE,Fuerteventura,Fuerteventura,Spain,28.4527,-13.8638
GDN,Gdansk,Gdansk,Poland,54.3776,18.4662
GLA,Glasgow,Glasgow,United Kingdom,55.87194,-4.43306
GNB,Grenoble,Grenoble,France,45.3629,5.32937
GOA,Genoa,Genoa,Italy,44.4133,8.8375
GOT,Göteborg Landvetter,Gothenburg,Sweden,57.6741,12.2925
GRO,Barcelona Girona,Girona,Spain,41.901,2.76055
HAM,Hamburg,Hamburg,Germany,53.63028,9.99111
HEL,Helsinki,Helsinki,Finland,60.3172,24.9633
HER,Heraklion Crete,Heraklion,Greece,35.3397,25.1803
HHN,Frankfurt Hahn,Frankfurt,Germany,49.9487,7.26389
IAS,Iasi,IASI,Romania,47.17889,27.617
IBZ,Ibiza,Ibiza,Spain,38.8729,1.37312
INI,Nis,Nis,Serbia,43.3372,21.8536
JMK,Mykonos,Mykonos,Greece,37.4351,25.3481
JSI,Skiathos,Skiathos,Greece,39.1775,23.5036
JTR,Santorini,Santorini,Greece,36.3992,25.4793
KGS,Kos,Kos,Greece,36.7933,27.0917
KIR,Kerry,Kerry,Ireland,52.1809,-9.52378
KLU,Klagenfurt,Klagenfurt,Austria,46.6425,14.3377
KLX,Kalamata,Kalamata,Greece,37.0683,22.0255
KRK,Krakow,Krakow,Poland,50.0777,19.7848
KSC,Kosice,Kosice,Slovakia,48.6631,21.2411
KTW,Katowice,Katowice,Poland,50.4743,19.08
KUN,Kaunas,Kaunas,Lithuania,54.9639,24.0848
LBA,Leeds Bradford,Leeds,United Kingdom,53.8659,-1.66057
LCA,Larnaca,Larnaca,Cyprus,34.8751,33.6249
LCJ,Lodz,Lodz,Poland,51.7219,19.3981
LDE,Lourdes–Pyrenees,Lourdes,France,43.1787,-0.006439
LDY,Derry,Derry,United Kingdom,55.0428,-7.16111
LEI,Almeria,Almeria,Spain,36.8439,-2.3701
LEJ,Leipzig,Leipzig,Germany,51.4324,12.2416
LGW,London Gatwick,London,United Kingdom,51.1481,-0.190278
LIG,Limoges,Limoges,France,45.8628,1.17944
LIL,Lille,Lille,France,50.5619,3.08944
LIS,Lisbon,Lisbon,Portugal,38.7813,-9.13592
LLA,Lulea,Luleå,Sweden,65.5425,22.1219
LPA,Gran Canaria,Gran Canaria,Spain,27.9319,-15.3866
LPL,Liverpool,Liverpool,United Kingdom,53.3336,-2.84972
LPP,Lappeenranta,Lappeenranta,Finland,61.0446,28.1444
LRH,La Rochelle,La Rochelle,France,46.1792,-1.19528
